날짜,카테고리,제목,요약,링크
2025년 06월 10일,공식,Steam Next Fest 2025년 6월 공식 시작,Steam에서 2600개 이상의 체험판이 공개되는 Steam Next Fest가 6월 10일 시작되었습니다.,https://store.steampowered.com/sale/nextfest
2025년 06월 10일,인기,NEXON 신작 '퍼스트 디센던트' 체험판 1위,NEXON의 루터슈터 '퍼스트 디센던트'가 인기 체험판 차트 정상을 차지했습니다.,https://store.steampowered.com/app/2814860
2025년 06월 10일,트렌드,Souls-like 장르 강세 지속,이번 SNF에서 소울라이크 장르 게임들이 높은 관심을 받고 있습니다.,https://store.steampowered.com/sale/nextfest
2025년 06월 11일,인기,Netmarble 'Solo Leveling' TOP 5 진입,Netmarble의 Solo Leveling: ARISE가 떠오르는 출시 예정 게임 5위권에 진입했습니다.,https://store.steampowered.com/app/2373990
2025년 06월 11일,라이브,SNF 라이브 방송 473개 동시 진행,2일차 라이브 방송이 473개로 전일 대비 증가했습니다.,https://store.steampowered.com/sale/nextfest
2025년 06월 12일,인기,ButterySoft LLC 신작 떠오르는 게임 1위,풀 시뮬레이터 RPG 게임이 떠오르는 출시 예정 1위에 등극했습니다.,https://store.steampowered.com/app/3310090
2025년 06월 12일,트렌드,Open World 생존 게임 인기 급상승,오픈 월드와 서바이벌 태그가 붙은 게임들의 관심도가 높아지고 있습니다.,https://store.steampowered.com/sale/nextfest
2025년 06월 13일,인기,Netmarble 'Solo Leveling' 1위 탈환,Netmarble의 Solo Leveling이 떠오르는 출시 예정 게임 1위를 차지했습니다.,https://store.steampowered.com/app/2373990
2025년 06월 13일,개발사,한국 개발사 TOP 10 다수 진입,NEXON과 Netmarble 등 한국 개발사 게임들이 TOP 10에 다수 포진했습니다.,https://store.steampowered.com/sale/nextfest
2025년 06월 14일,라이브,주말 시청자 36000명 돌파,주말을 맞아 SNF 라이브 방송 시청자가 36000명을 돌파했습니다.,https://store.steampowered.com/sale/nextfest
2025년 06월 15일,기록,역대 최고 시청자 50580명 기록,SNF 라이브 방송이 50580명 동시 시청자를 기록하며 역대 최고치를 달성했습니다.,https://store.steampowered.com/sale/nextfest
2025년 06월 15일,트렌드,Action RPG 장르 압도적 인기,액션 RPG 장르가 전체 TOP 게임의 70% 이상을 차지했습니다.,https://store.steampowered.com/sale/nextfest
2025년 06월 16일,마무리,SNF 2025년 6월 성공적 마무리,7일간의 Steam Next Fest가 성공적으로 종료되었습니다.,https://store.steampowered.com/sale/nextfest
2025년 06월 16일,결과,NEXON 체험판 전 기간 1위 유지,NEXON의 퍼스트 디센던트가 7일 내내 인기 체험판 1위를 유지했습니다.,https://store.steampowered.com/app/2814860
